Year Age ASFR ASFR1 Pop
2022 12- 0 0 KOR
2022 13 0.00001 0.00001 KOR
2022 14 0.00004 0.00004 KOR
2022 15 0.00004 0.00004 KOR
2022 16 0.00013 0.00013 KOR
2022 17 0.00032 0.0003 KOR
2022 18 0.00037 0.00034 KOR
2022 19 0.00093 0.00082 KOR
2022 20 0.00167 0.0014 KOR
2022 21 0.00269 0.00196 KOR
2022 22 0.00362 0.00249 KOR
2022 23 0.00507 0.00348 KOR
2022 24 0.00697 0.00459 KOR
2022 25 0.00967 0.00659 KOR
2022 26 0.01414 0.00983 KOR
2022 27 0.02143 0.01515 KOR
2022 28 0.03098 0.02226 KOR
2022 29 0.04315 0.03055 KOR
2022 30 0.0586 0.04094 KOR
2022 31 0.07251 0.04883 KOR
2022 32 0.08146 0.052 KOR
2022 33 0.08045 0.04784 KOR
2022 34 0.07746 0.04233 KOR
2022 35 0.06909 0.03452 KOR
2022 36 0.05633 0.02631 KOR
2022 37 0.04407 0.01957 KOR
2022 38 0.03339 0.01434 KOR
2022 39 0.02446 0.01058 KOR
2022 40 0.01699 0.00731 KOR
2022 41 0.01064 0.00461 KOR
2022 42 0.00629 0.00278 KOR
2022 43 0.00339 0.00165 KOR
2022 44 0.00161 0.00082 KOR
2022 45 0.0006 0.00031 KOR
2022 46 0.00024 0.0001 KOR
2022 47 0.00009 0.00004 KOR
2022 48 0.00002 0.00001 KOR
2022 49 0.00001 0 KOR
2022 50 0.00001 0 KOR
2022 51 0 0 KOR
2022 52 0 0 KOR
2022 53 0 0 KOR
2022 54 0 0 KOR
2022 55+ 0 0 KOR
2022 12- 0.00004 0.00004 USA
2022 13 0.00015 0.00015 USA
2022 14 0.00066 0.00064 USA
2022 15 0.00208 0.00201 USA
2022 16 0.00479 0.00455 USA
2022 17 0.00974 0.00889 USA
2022 18 0.01853 0.016 USA
2022 19 0.03268 0.02656 USA
2022 20 0.04383 0.03192 USA
2022 21 0.05218 0.03345 USA
2022 22 0.06113 0.03428 USA
2022 23 0.06833 0.03458 USA
2022 24 0.07537 0.03496 USA
2022 25 0.08213 0.03595 USA
2022 26 0.08842 0.03669 USA
2022 27 0.09408 0.03709 USA
2022 28 0.0983 0.03731 USA
2022 29 0.10066 0.03675 USA
2022 30 0.10163 0.03605 USA
2022 31 0.10219 0.03431 USA
2022 32 0.09915 0.03137 USA
2022 33 0.09351 0.02717 USA
2022 34 0.08689 0.02347 USA
2022 35 0.07741 0.01969 USA
2022 36 0.06579 0.01585 USA
2022 37 0.0541 0.01227 USA
2022 38 0.04286 0.00944 USA
2022 39 0.03326 0.00698 USA
2022 40 0.02394 0.00512 USA
2022 41 0.0165 0.00346 USA
2022 42 0.0109 0.00225 USA
2022 43 0.00651 0.00137 USA
2022 44 0.00386 0.00091 USA
2022 45 0.00214 0.00053 USA
2022 46 0.00117 0.00031 USA
2022 47 0.00071 0.00024 USA
2022 48 0.00041 0.00014 USA
2022 49 0.00025 0.00009 USA
2022 50 0.0003 0.00009 USA
2022 51 0.00019 0.00006 USA
2022 52 0.00007 0.00002 USA
2022 53 0.00002 0.00001 USA
2022 54 0 0 USA
2022 55+ 0 0 USA
