source:HMD						
						
Age	POP_Female	POP_Male	DEATH_Female	DEATH_Male	ax_Female	ax_Male
0	433371.16	455704.43	762.1	892.5	0.15	0.15
1	453955.03	477123.77	140.0	138.1	0.5	0.5
2	465898.79	490374.1	77.0	80.0	0.5	0.5
3	471405.92	495232.48	60.0	68.0	0.5	0.5
4	469737.7	491806.66	51.0	51.0	0.5	0.5
5	474021.02	496081.92	46.0	44.0	0.5	0.5
6	485670.15	507892.41	37.0	32.0	0.5	0.5
7	493560.68	517154.26	35.0	47.0	0.5	0.5
8	503579.69	529101.8	24.0	42.0	0.5	0.5
9	507304.96	533442.03	28.0	44.0	0.5	0.5
10	514668.08	540792.23	27.0	27.0	0.5	0.5
11	518867.04	544948.4	34.0	54.0	0.5	0.5
12	516792.73	542324.64	35.0	42.0	0.5	0.5
13	513562.43	538536.25	45.0	54.0	0.5	0.5
14	523683.34	548656.28	49.0	59.0	0.5	0.5
15	535796.96	561791.64	67.0	91.1	0.5	0.5
16	547488.74	575292.05	64.0	105.1	0.5	0.5
17	562247.21	591463.63	78.0	170.1	0.5	0.5
18	568503.58	600515.3	95.0	181.1	0.5	0.5
19	574753.86	608736.16	102.0	224.1	0.5	0.5
20	582396.86	616539.47	110.0	259.1	0.5	0.5
21	581885.63	615842.36	122.0	290.2	0.5	0.5
22	578660.24	612555.52	135.0	318.2	0.5	0.5
23	574219.06	606790.96	128.0	278.1	0.5	0.5
24	584511.58	615488.97	117.0	285.2	0.5	0.5
25	572216.38	601419.44	119.0	252.1	0.5	0.5
26	570972.36	599377.02	134.0	260.1	0.5	0.5
27	570918.92	598090.35	158.0	264.1	0.5	0.5
28	571283.51	596154.65	123.0	272.1	0.5	0.5
29	586090.04	609607.15	149.0	324.2	0.5	0.5
30	604213.13	628652.1	161.0	380.2	0.5	0.5
31	617085.35	642500.74	181.0	345.2	0.5	0.5
32	639881.93	666296.77	208.0	374.2	0.5	0.5
33	657576.14	683035.89	215.0	420.2	0.5	0.5
34	684285.78	707346.92	252.1	442.2	0.5	0.5
35	702705.17	725557.55	289.1	474.2	0.5	0.5
36	713160.99	736719.17	313.1	509.3	0.5	0.5
37	713598.22	737372.55	310.1	550.3	0.5	0.5
38	731333.55	756076.97	338.1	606.3	0.5	0.5
39	760995.51	787485.84	376.1	712.4	0.5	0.5
40	782805.38	810156.96	449.1	785.4	0.5	0.5
41	813019.01	840729.85	526.1	843.4	0.5	0.5
42	838909.7	867519.31	570.1	924.5	0.5	0.5
43	880473.03	909963.91	620.1	1107.6	0.5	0.5
44	927767.78	958895.74	759.1	1230.6	0.5	0.5
45	962892.75	993415.55	884.2	1450.7	0.5	0.5
46	974797.51	1004253.88	953.2	1593.8	0.5	0.5
47	952705.51	981600.22	1035.2	1810.9	0.5	0.5
48	924491.61	951192.69	1141.2	1901.0	0.5	0.5
49	901872.28	926348.66	1209.2	2050.0	0.5	0.5
50	896140.42	918211.4	1268.2	2250.1	0.5	0.5
51	860050.31	879238.3	1375.3	2427.2	0.5	0.5
52	827797.09	843353.55	1338.3	2407.2	0.5	0.5
53	759092.55	770199.15	1351.3	2512.3	0.5	0.5
54	804616.98	814810.08	1567.3	3055.6	0.5	0.5
55	783090.07	791518.93	1565.3	3028.5	0.5	0.5
56	767208.73	772761.99	1654.3	3420.7	0.5	0.5
57	748876.14	751342.29	1820.3	3601.8	0.5	0.5
58	739659.17	738384.5	1932.4	3934.0	0.5	0.5
59	746155.96	740776.83	2145.4	4298.2	0.5	0.5
60	759297.56	749667.04	2215.4	4890.5	0.5	0.5
61	732295.61	718708.61	2322.4	5177.6	0.5	0.5
62	739495.41	722242.13	2515.5	5520.8	0.5	0.5
