source:HMD						
						
Age	POP_Female	POP_Male	DEATH_Female	DEATH_Male	ax_Female	ax_Male
0	81702.1	87757.8	296	379	0.14	0.14
1	91804.1	98433.5	24	28	0.5	0.5
2	98362.2	105714.2	15	24	0.5	0.5
3	102670.6	110696.8	10	24	0.5	0.5
4	103816.2	111502.2	14	12	0.5	0.5
5	99553.7	106636.8	12	17	0.5	0.5
6	104969.5	112694.5	6	11	0.5	0.5
7	105581.7	113474.8	8	15	0.5	0.5
8	88759.7	96147.7	8	10	0.5	0.5
9	87279.5	94854.5	10	7	0.5	0.5
10	94335.1	102830.6	11	10	0.5	0.5
11	96690.6	105864.6	10	10	0.5	0.5
12	98518.6	107880.5	13	6	0.5	0.5
13	99195.6	108287.6	11	17	0.5	0.5
14	101819.1	111526.6	20	16	0.5	0.5
15	106113.6	116846.6	15	35	0.5	0.5
16	112908.5	123850.0	17	42	0.5	0.5
17	120328.6	131027.7	32	57	0.5	0.5
18	134709.4	146422.4	36	108	0.5	0.5
19	140660.5	153336.9	45	91	0.5	0.5
20	131594.0	142908.5	38	97	0.5	0.5
21	141393.9	152972.6	27	99	0.5	0.5
22	154431.5	167010.2	51	101	0.5	0.5
23	155043.3	166739.8	38	111	0.5	0.5
24	154962.0	166558.1	53	89	0.5	0.5
25	155351.4	166852.4	42	103	0.5	0.5
26	154433.4	166385.7	36	90	0.5	0.5
27	151747.5	164968.0	45	108	0.5	0.5
28	155188.4	168635.6	59	103	0.5	0.5
29	154125.2	165744.6	48	119	0.5	0.5
30	156712.3	166423.3	56	120	0.5	0.5
31	157228.7	165695.9	74	142	0.5	0.5
32	149475.8	154673.9	72	141	0.5	0.5
33	159133.7	161061.1	74	204	0.5	0.5
34	176354.6	176786.4	99	191	0.5	0.5
35	186971.1	185931.0	83	214	0.5	0.5
36	196766.8	193373.9	131	268	0.5	0.5
37	205346.0	201100.6	142	313	0.5	0.5
38	207118.0	201995.1	160	345	0.5	0.5
39	208086.8	202750.5	163	436	0.5	0.5
40	207013.3	202267.3	210	471	0.5	0.5
41	199577.0	193691.0	175	468	0.5	0.5
42	202679.4	196599.4	195	577	0.5	0.5
43	196693.7	190257.1	213	569	0.5	0.5
44	181283.4	174141.1	193	599	0.5	0.5
45	178765.3	172368.5	245	623	0.5	0.5
46	178351.8	171422.8	249	696	0.5	0.5
47	180513.1	173443.5	311	740	0.5	0.5
48	184455.3	178572.1	326	848	0.5	0.5
49	186416.5	181010.6	365	982	0.5	0.5
50	185791.7	180930.2	388	979	0.5	0.5
51	180254.0	176226.5	418	1082	0.5	0.5
52	181924.8	177307.8	418	1078	0.5	0.5
53	187165.8	181326.6	479	1216	0.5	0.5
54	187111.4	181178.1	524	1332	0.5	0.5
55	190010.2	183133.7	513	1332	0.5	0.5
56	189801.6	182163.7	587	1524	0.5	0.5
57	186110.5	178817.3	618	1602	0.5	0.5
58	183258.6	175701.6	712	1660	0.5	0.5
59	181370.2	172643.3	724	1750	0.5	0.5
60	177729.1	167787.7	764	1757	0.5	0.5
61	170459.7	159785.0	770	1714	0.5	0.5
62	168587.9	157293.4	838	1829	0.5	0.5
63	168474.2	157217.0	939	1990	0.5	0.5
64	161745.1	149677.9	1056	2041	0.5	0.5
65	154059.6	141211.5	1020	1987	0.5	0.5
66	148686.0	135852.9	997	2109	0.5	0.5
67	147389.4	133502.8	1127	2310	0.5	0.5
68	135828.1	122344.1	1191	2178	0.5	0.5
69	118820.8	106479.9	1154	2067	0.5	0.5
70	106546.4	94687.3	1229	2149	0.5	0.5
71	92770.7	81825.6	1094	1845	0.5	0.5
72	77897.8	67685.8	1105	1788	0.5	0.5
73	65534.3	55871.5	995	1456	0.5	0.5
74	66245.8	55859.2	1218	1874	0.5	0.5
75	70721.8	59003.4	1384	2120	0.5	0.5
