Country	Age	ASFR
USA	-12	0.00003
USA	13	0.00015
USA	14	0.00077
USA	15	0.00276
USA	16	0.00696
USA	17	0.01374
USA	18	0.02613
USA	19	0.04415
USA	20	0.05614
USA	21	0.06429
USA	22	0.07229
USA	23	0.07831
USA	24	0.0833
USA	25	0.08829
USA	26	0.09289
USA	27	0.0985
USA	28	0.10383
USA	29	0.10861
USA	30	0.10958
USA	31	0.1086
USA	32	0.10263
USA	33	0.09494
USA	34	0.08607
USA	35	0.07508
USA	36	0.06269
USA	37	0.05054
USA	38	0.03989
USA	39	0.03152
USA	40	0.02252
USA	41	0.01575
USA	42	0.01004
USA	43	0.0061
USA	44	0.00341
USA	45	0.00189
USA	46	0.00102
USA	47	0.00059
USA	48	0.00029
USA	49	0.00023
USA	50	0.00021
USA	51	0.00012
USA	52	0.00005
USA	53	0.00002
USA	54	0
USA	55+	0
JPN	-12	0
JPN	13	0.00001
JPN	14	0.00006
JPN	15	0.00022
JPN	16	0.00081
JPN	17	0.00225
JPN	18	0.00427
JPN	19	0.00941
JPN	20	0.01475
JPN	21	0.02105
JPN	22	0.02647
JPN	23	0.03347
JPN	24	0.04207
JPN	25	0.05313
JPN	26	0.06693
JPN	27	0.08165
JPN	28	0.09632
JPN	29	0.10709
JPN	30	0.11006
JPN	31	0.10837
JPN	32	0.1038
JPN	33	0.0975
JPN	34	0.08974
JPN	35	0.08141
JPN	36	0.06906
JPN	37	0.05703
JPN	38	0.04587
JPN	39	0.0355
JPN	40	0.02545
JPN	41	0.01637
JPN	42	0.00969
JPN	43	0.00522
JPN	44	0.00233
JPN	45	0.00093
JPN	46	0.00036
JPN	47	0.00016
JPN	48	0.00006
JPN	49	0.00003
JPN	50	0.00002
JPN	51	0.00002
JPN	52	0.00001
JPN	53	0.00001
JPN	54	0.00001
JPN	55+	0.00001
