Year Population Births Deaths
1921 5432608.05 136198 54076.05
1922 5517553.16 137496 51310.99
1923 5637020.67 135222 56236.05
1924 5757630.27 134927 54980.02
1925 5880806.44 135792 54567.96
1926 6003364.96 133162 56951.94
1927 6124931.1 133698 58282.06
1928 6247542.57 134078 59377.9
1929 6352974.58 129480 60855.96
1930 6432476.38 128399 55331.1
1931 6498848.42 118509 56559.95
1932 6555407.85 110933 56756.97
1933 6606828.2 111269 59117.05
1934 6657221.13 109475 62229
1935 6706005.51 111325 63598.94
1936 6756976.17 116073 63931.89
1937 6812419.02 119131 64496.06
1938 6872732.38 120415 66450.95
1939 6938895.08 122891 69146.98
1940 7009050.59 126347 68384.09
1941 7080350.82 134525 71175.99
1942 7150978.1 136708 75190.82
1943 7213687.07 149295 74486.01
1944 7277985.71 153344 69595.88
1945 7356569.15 160560 70231.02
1946 7433522.4 176379 74660.93
1947 7526534.9 182384 73468.02
1948 7648905.55 177976 76839.05
1949 7813374.95 181261 75260.06
1950 8048903.09 190591 78187.06
1951 8305395.67 193298 81787.96
1952 8534149.44 201650 81596.93
1953 8731263 202235 80187.94
1954 8906848.32 202256 81805.01
1955 9099638.95 207677 82036.04
1956 9319768.47 212133 86087.97
1957 9539536.74 220358 84952.96
1958 9748502.89 222504 83723.06
1959 9957459.09 226976 89212
1960 10173621.79 230326 88464.01
1961 10399435.5 239986 88960.95
1962 10612271.12 237081 93162.95
1963 10811561.36 235689 94894.1
1964 11023370.81 229149 100733.92
1965 11240347.4 222854 100424.45
1966 11479405.65 223731 104457.04
1967 11707268.61 229296 102989.42
1968 11912789.52 240906 109196.96
1969 12144124.93 250176 106685.91
1970 12395526.38 257516 113487.99
1971 12798054.07 276362 110129.1
1972 13193724.44 264969 110717.12
1973 13411641.91 247670 110860.45
1974 13620306.75 245177 115679.45
1975 13812224.44 232738 108901.51
1976 13967628.1 227359 112801.98
1977 14114951.44 227072 108334.97
1978 14278410.62 224950 108744.89
1979 14439971.48 223321 106824.99
1980 14607920.15 226474 108264.98
1981 14811589.22 237652 109523.46
1982 15055337.84 238775 114075.48
1983 15288314.8 243002 110151.51
1984 15484582.34 242238 113320.49
1985 15681146.92 244037 117814.56
1986 15897070.57 243886 114348.03
1987 16134486.68 244199 118146.95
1988 16391055.58 251308 118991.02
1989 16667837.49 254606 125284.03
1990 16932433.39 262812 118967.75
1991 17170608.27 258274 118572.62
1992 17378461.31 264254 122995.45
1993 17553330.98 261521 120844.53
1994 17716392.89 262212 127044.91
1995 17901191.2 260156 125252.48
1996 18111234.83 257874 128349.96
1997 18318886.39 255478 128849.48
1998 18508142.66 253503 127503.42
1999 18701600.7 256332 128212
2000 18906305.39 255813 128949.97
2001 19135511.83 251548 128855.88
2002 19366393.65 253393 133220.78
2003 19590175.24 253776 131985.88
2004 19811683.98 254323 132426.13
2005 20041278.72 269011 131498.91
2006 20303713.15 276277 134457.76
2007 20630208.07 290648 139691.6
2008 21028594.28 293914 142472.69
2009 21460997.1 296296 141265.43
2010 21850538.39 297022 142712.45
2011 22175060.26 299725 146622.95
2012 22524443.74 308518 148961.87
2013 22917869.6 305355 148269.9
2014 23290366.58 307753 153951.85
2015 23634559.73 303954 157291.88
2016 23992575.07 308987 158607.78
2017 24382622.05 299189 164329.75
2018 24769870.87 296447 159424.97
2019 25144616.08 294883 164784.92
2020 25488732.52 285047 162566.85
2021 25665988.89 309996 172017.98
2022 25851257.46 0 0
