Canada, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 06/12/2021
Year    ARDY   Cohort        ASFR
1921     12-    1909+     0.00000
1921     13     1908      0.00001
1921     14     1907      0.00023
1921     15     1906      0.00152
1921     16     1905      0.00595
1921     17     1904      0.01824
1921     18     1903      0.04204
1921     19     1902      0.07452
1921     20     1901      0.10626
1921     21     1900      0.13517
1921     22     1899      0.16041
1921     23     1898      0.17762
1921     24     1897      0.19173
1921     25     1896      0.20092
1921     26     1895      0.19724
1921     27     1894      0.18718
1921     28     1893      0.18071
1921     29     1892      0.18054
1921     30     1891      0.17918
1921     31     1890      0.16747
1921     32     1889      0.15425
1921     33     1888      0.14694
1921     34     1887      0.14392
1921     35     1886      0.13888
1921     36     1885      0.12756
1921     37     1884      0.11487
1921     38     1883      0.10328
1921     39     1882      0.09178
1921     40     1881      0.07678
1921     41     1880      0.06060
1921     42     1879      0.04869
1921     43     1878      0.03955
1921     44     1877      0.03019
1921     45     1876      0.02400
1921     46     1875      0.01459
1921     47     1874      0.00416
1921     48     1873      0.00065
1921     49     1872      0.00009
1921     50     1871      0.00001
1921     51     1870      0.00000
1921     52     1869      0.00000
1921     53     1868      0.00000
1921     54     1867      0.00000
1921     55+    1866-     0.00000
1922     12-    1910+     0.00000
1922     13     1909      0.00001
1922     14     1908      0.00029
1922     15     1907      0.00180
1922     16     1906      0.00664
1922     17     1905      0.01920
1922     18     1904      0.04196
1922     19     1903      0.07192
1922     20     1902      0.10131
1922     21     1901      0.12790
1922     22     1900      0.15068
1922     23     1899      0.16668
1922     24     1898      0.18082
1922     25     1897      0.19105
1922     26     1896      0.18908
1922     27     1895      0.18075
1922     28     1894      0.17539
1922     29     1893      0.17551
1922     30     1892      0.17421
1922     31     1891      0.16309
1922     32     1890      0.15042
1922     33     1889      0.14318
1922     34     1888      0.13993
1922     35     1887      0.13426
1922     36     1886      0.12224
1922     37     1885      0.10993
1922     38     1884      0.09988
1922     39     1883      0.09000
1922     40     1882      0.07895
1922     41     1881      0.06633
1922     42     1880      0.05160
1922     43     1879      0.03653
1922     44     1878      0.02397
1922     45     1877      0.01508
1922     46     1876      0.00925
1922     47     1875      0.00525
1922     48     1874      0.00268
1922     49     1873      0.00128
1922     50     1872      0.00064
1922     51     1871      0.00033
1922     52     1870      0.00014
1922     53     1869      0.00005
1922     54     1868      0.00001
1922     55+    1867-     0.00000
1923     12-    1911+     0.00000
1923     13     1910      0.00001
1923     14     1909      0.00030
1923     15     1908      0.00180
1923     16     1907      0.00634
1923     17     1906      0.01755
1923     18     1905      0.03717
1923     19     1904      0.06327
1923     20     1903      0.09079
1923     21     1902      0.11721
1923     22     1901      0.14045
1923     23     1900      0.15756
1923     24     1899      0.17200
1923     25     1898      0.18163
1923     26     1897      0.17980
1923     27     1896      0.17231
1923     28     1895      0.16754
1923     29     1894      0.16805
1923     30     1893      0.16720
1923     31     1892      0.15676
1923     32     1891      0.14471
1923     33     1890      0.13787
1923     34     1889      0.13487
1923     35     1888      0.12964
1923     36     1887      0.11831
1923     37     1886      0.10634
1923     38     1885      0.09618
1923     39     1884      0.08607
1923     40     1883      0.07514
1923     41     1882      0.06298
1923     42     1881      0.04879
