Australian Bureau of Statistics,,,
,,,
2016 Census - Internal Migration,,,
"AGE10P - Age in Ten Year Groups, STATE (5YR) and STATE (UR)",,,
Counting: Persons Place of Usual Residence,,,
,,,
Filters:,,,
Default Summation,Persons Place of Usual Residence,,
,,,
,,,
AGE10P - Age in Ten Year Groups,STATE (5YR),STATE (UR),
0-9 years,New South Wales,New South Wales,410049
,,Victoria,4522
,,Queensland,8890
,,South Australia,1104
,,Western Australia,1750
,,Tasmania,465
,,Northern Territory,445
,,Australian Capital Territory,1797
,Victoria,New South Wales,3537
,,Victoria,312683
,,Queensland,4163
,,South Australia,1036
,,Western Australia,1483
,,Tasmania,523
,,Northern Territory,389
,,Australian Capital Territory,392
,Queensland,New South Wales,6035
,,Victoria,3026
,,Queensland,259760
,,South Australia,808
,,Western Australia,1713
,,Tasmania,537
,,Northern Territory,758
,,Australian Capital Territory,538
,South Australia,New South Wales,917
,,Victoria,1391
,,Queensland,1425
,,South Australia,85041
,,Western Australia,674
,,Tasmania,124
,,Northern Territory,288
,,Australian Capital Territory,166
,Western Australia,New South Wales,1329
,,Victoria,1517
,,Queensland,1840
,,South Australia,481
,,Western Australia,132988
,,Tasmania,301
,,Northern Territory,387
,,Australian Capital Territory,160
,Tasmania,New South Wales,340
,,Victoria,519
,,Queensland,757
,,South Australia,143
,,Western Australia,289
,,Tasmania,26616
,,Northern Territory,55
,,Australian Capital Territory,37
,Northern Territory,New South Wales,602
,,Victoria,510
,,Queensland,1314
,,South Australia,440
,,Western Australia,472
,,Tasmania,89
,,Northern Territory,11650
,,Australian Capital Territory,119
,Australian Capital Territory,New South Wales,1584
,,Victoria,414
,,Queensland,705
,,South Australia,116
,,Western Australia,161
,,Tasmania,50
,,Northern Territory,55
,,Australian Capital Territory,19075
10-19 years,New South Wales,New South Wales,777123
,,Victoria,6506
,,Queensland,12524
,,South Australia,1248
,,Western Australia,1848
,,Tasmania,586
,,Northern Territory,527
,,Australian Capital Territory,3411
,Victoria,New South Wales,4136
,,Victoria,594201
,,Queensland,5182
,,South Australia,1402
,,Western Australia,1592
,,Tasmania,554
,,Northern Territory,406
,,Australian Capital Territory,652
,Queensland,New South Wales,7831
,,Victoria,4907
,,Queensland,501306
,,South Australia,1088
,,Western Australia,2271
,,Tasmania,836
,,Northern Territory,875
,,Australian Capital Territory,942
,South Australia,New South Wales,1130
,,Victoria,1964
,,Queensland,1933
,,South Australia,169828
,,Western Australia,816
,,Tasmania,203
,,Northern Territory,344
,,Australian Capital Territory,253
,Western Australia,New South Wales,1686
,,Victoria,2210
,,Queensland,2553
,,South Australia,648
,,Western Australia,253210
,,Tasmania,410
,,Northern Territory,451
,,Australian Capital Territory,296
,Tasmania,New South Wales,544
,,Victoria,1120
,,Queensland,1123
,,South Australia,179
,,Western Australia,386
,,Tasmania,53319
,,Northern Territory,81
,,Australian Capital Territory,100
,Northern Territory,New South Wales,709
,,Victoria,874
,,Queensland,1910
,,South Australia,788
,,Western Australia,650
,,Tasmania,97
,,Northern Territory,21712
,,Australian Capital Territory,202
,Australian Capital Territory,New South Wales,2119
,,Victoria,570
,,Queensland,908
,,South Australia,108
,,Western Australia,147
,,Tasmania,42
,,Northern Territory,45
,,Australian Capital Territory,35079
20-29 years,New South Wales,New South Wales,719548
,,Victoria,16482
,,Queensland,23008
,,South Australia,2540
,,Western Australia,4253
,,Tasmania,935
,,Northern Territory,2006
,,Australian Capital Territory,9341
,Victoria,New South Wales,11040
,,Victoria,590621
,,Queensland,8894
,,South Australia,2969
,,Western Australia,4299
,,Tasmania,1180
,,Northern Territory,1827
,,Australian Capital Territory,2251
,Queensland,New South Wales,16579
,,Victoria,12699
,,Queensland,452737
,,South Australia,2010
,,Western Australia,4339
,,Tasmania,1161
,,Northern Territory,2544
,,Australian Capital Territory,2023
,South Australia,New South Wales,3483
,,Victoria,5812
,,Queensland,2960
,,South Australia,164766
,,Western Australia,1671
,,Tasmania,263
,,Northern Territory,1078
,,Australian Capital Territory,701
,Western Australia,New South Wales,4269
,,Victoria,6080
,,Queensland,3334
,,South Australia,920
,,Western Australia,242265
,,Tasmania,474
,,Northern Territory,972
,,Australian Capital Territory,615
,Tasmania,New South Wales,1351
,,Victoria,3737
,,Queensland,2118
,,South Australia,391
,,Western Australia,1029
,,Tasmania,44918
,,Northern Territory,199
,,Australian Capital Territory,312
,Northern Territory,New South Wales,1240
,,Victoria,1381
,,Queensland,2248
,,South Australia,1068
,,Western Australia,900
,,Tasmania,127
,,Northern Territory,18546
,,Australian Capital Territory,207
,Australian Capital Territory,New South Wales,6236
,,Victoria,2876
,,Queensland,1800
,,South Australia,363
,,Western Australia,416
,,Tasmania,81
,,Northern Territory,243
,,Australian Capital Territory,33447
30-39 years,New South Wales,New South Wales,787391
,,Victoria,14792
,,Queensland,20091
,,South Australia,3132
,,Western Australia,5579
,,Tasmania,1103
,,Northern Territory,1560
,,Australian Capital Territory,5771
,Victoria,New South Wales,12367
,,Victoria,645970
,,Queensland,10066
,,South Australia,3179
,,Western Australia,5541
,,Tasmania,1459
,,Northern Territory,1621
,,Australian Capital Territory,1838
,Queensland,New South Wales,16581
,,Victoria,10399
,,Queensland,473519
,,South Australia,2337
,,Western Australia,5266
,,Tasmania,1312
,,Northern Territory,2289
,,Australian Capital Territory,1702
,South Australia,New South Wales,3235
,,Victoria,4931
,,Queensland,3154
,,South Australia,166764
,,Western Australia,1940
,,Tasmania,349
,,Northern Territory,848
,,Australian Capital Territory,552
,Western Australia,New South Wales,4667
,,Victoria,5861
,,Queensland,4564
,,South Australia,1308
,,Western Australia,263143
,,Tasmania,772
,,Northern Territory,1245
,,Australian Capital Territory,488
,Tasmania,New South Wales,884
,,Victoria,1655
,,Queensland,1349
,,South Australia,254
,,Western Australia,682
,,Tasmania,44788
,,Northern Territory,146
,,Australian Capital Territory,134
,Northern Territory,New South Wales,1737
,,Victoria,1804
,,Queensland,2889
,,South Australia,1112
,,Western Australia,1316
,,Tasmania,214
,,Northern Territory,21299
,,Australian Capital Territory,336
,Australian Capital Territory,New South Wales,5038
,,Victoria,2099
,,Queensland,1835
,,South Australia,386
,,Western Australia,546
,,Tasmania,141
,,Northern Territory,147
,,Australian Capital Territory,41063
40-49 years,New South Wales,New South Wales,852822
,,Victoria,8028
,,Queensland,14537
,,South Australia,1849
,,Western Australia,3048
,,Tasmania,1031
,,Northern Territory,826
,,Australian Capital Territory,3147
,Victoria,New South Wales,6774
,,Victoria,688236
,,Queensland,7394
,,South Australia,1813
,,Western Australia,2816
,,Tasmania,1066
,,Northern Territory,752
,,Australian Capital Territory,839
,Queensland,New South Wales,10449
,,Victoria,5932
,,Queensland,533449
,,South Australia,1487
,,Western Australia,3373
,,Tasmania,1070
,,Northern Territory,1500
,,Australian Capital Territory,995
,South Australia,New South Wales,1745
,,Victoria,2427
,,Queensland,2466
,,South Australia,189959
,,Western Australia,1180
,,Tasmania,267
,,Northern Territory,554
,,Australian Capital Territory,304
,Western Australia,New South Wales,2543
,,Victoria,2926
,,Queensland,3478
,,South Australia,879
,,Western Australia,280547
,,Tasmania,618
,,Northern Territory,759
,,Australian Capital Territory,294
,Tasmania,New South Wales,675
,,Victoria,1015
,,Queensland,1208
,,South Australia,240
,,Western Australia,497
,,Tasmania,55603
,,Northern Territory,122
,,Australian Capital Territory,91
,Northern Territory,New South Wales,973
