Australian Bureau of Statistics,,
,,
2021 Census - internal migration,,
STATE (5YR) and STATE (UR),,
Counting: Person Records,,
,,
Filters:,,
Default Summation,Person Records,
,,
,,
STATE (5YR),STATE (UR),Count
New South Wales,New South Wales,6438401
,Victoria,68685
,Queensland,137386
,South Australia,16994
,Western Australia,19370
,Tasmania,14035
,Northern Territory,6622
,Australian Capital Territory,35086
Victoria,New South Wales,56671
,Victoria,5195053
,Queensland,67487
,South Australia,18113
,Western Australia,17779
,Tasmania,13266
,Northern Territory,6672
,Australian Capital Territory,9105
Queensland,New South Wales,70394
,Victoria,43045
,Queensland,3983906
,South Australia,11705
,Western Australia,17624
,Tasmania,9955
,Northern Territory,7590
,Australian Capital Territory,8587
South Australia,New South Wales,12971
,Victoria,20535
,Queensland,17036
,South Australia,1448852
,Western Australia,5989
,Tasmania,1665
,Northern Territory,3195
,Australian Capital Territory,2537
Western Australia,New South Wales,18564
,Victoria,22541
,Queensland,20771
,South Australia,5977
,Western Australia,2120238
,Tasmania,3400
,Northern Territory,3889
,Australian Capital Territory,2794
Tasmania,New South Wales,4580
,Victoria,9083
,Queensland,9100
,South Australia,1904
,Western Australia,2938
,Tasmania,429530
,Northern Territory,543
,Australian Capital Territory,773
Northern Territory,New South Wales,6675
,Victoria,7755
,Queensland,14687
,South Australia,5690
,Western Australia,5637
,Tasmania,1025
,Northern Territory,148328
,Australian Capital Territory,1269
Australian Capital Territory,New South Wales,26099
,Victoria,7964
,Queensland,10061
,South Australia,1899
,Western Australia,1842
,Tasmania,914
,Northern Territory,783
,Australian Capital Territory,316781
Total,New South Wales,6634350
,Victoria,5374654
,Queensland,4260431
,South Australia,1511132
,Western Australia,2191417
,Tasmania,473784
,Northern Territory,177637
,Australian Capital Territory,376944
,,
"Data source: Census of Population and Housing, 2021, TableBuilder",,
,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,
,,
,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,
