Age	Line1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	2.99964E-05
12	0.000159983
13	0.000829894
14	0.003139582
15	0.008878573
16	0.019086814
17	0.036582281
18	0.064895134
19	0.094787743
20	0.114923494
21	0.130237896
22	0.144312803
23	0.155786829
24	0.166832063
25	0.176725067
26	0.185518455
27	0.195309901
28	0.204930462
29	0.212151652
30	0.215058296
31	0.209377898
32	0.196339659
33	0.180385185
34	0.161820299
35	0.139717769
36	0.114680745
37	0.090960835
38	0.071508152
39	0.054387771
40	0.038946674
41	0.026214353
42	0.01635981
43	0.009643831
44	0.005456215
45	0.003007762
46	0.001658602
47	0.000959149
48	0.000579396
49	0.000469311
50	0.000389522
51	0.00020979
52	7.99247E-05
53	0.00002
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
