Time,Gender,Response
1.25,1,1
1.25,1,1
1.25,1,1
1.25,1,1
1.25,0,0
1.25,1,0
1.25,1,1
1.25,0,1
1.25,1,1
1.25,1,0
1.25,1,1
1.25,0,0
1.14,1,0
1.14,0,1
1.14,1,1
1.14,0,1
1.14,0,0
1.14,0,1
1.14,0,1
1.14,0,1
0.93,0,0
0.93,1,1
0.93,1,1
0.93,1,1
0.93,1,1
0.93,1,1
0.93,0,0
0.93,0,1
0.84,0,1
0.84,0,1
0.84,1,0
0.84,0,0
0.84,1,0
0.84,1,0
0.84,0,1
0.84,0,1
0.84,1,0
0.84,0,1
0.84,1,1
0.84,1,1
0.84,1,1
0.68,0,1
0.68,0,0
0.68,1,0
0.68,0,1
0.68,0,0
0.68,0,0
0.68,0,0
0.68,0,1
0.68,0,1
0.68,1,0
0.68,1,0
0.68,1,1
0.68,0,0
0.68,0,1
0.68,1,1
0.68,0,1
0.57,1,0
0.57,1,0
0.57,0,1
0.57,1,0
0.57,0,1
0.57,0,1
0.57,0,0
0.57,0,0
0.43,1,1
0.43,0,1
0.43,1,0
0.43,0,1
0.43,1,0
0.43,1,1
0.43,1,0
0.43,1,0
0.43,0,0
0.43,0,1
0.43,0,0
0.43,1,0
0.43,1,0
0.43,1,0
0.43,1,1
0.43,0,0
0.43,1,0
0.43,1,0
0.43,1,1
0.25,0,0
0.25,0,1
0.25,1,0
0.25,1,0
0.25,1,0
0.25,1,0
0.25,0,0
0.25,1,1
0.25,0,0
0.25,1,1
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.1,0,1
0.1,0,0
